graph_id,n,m,edges,best_k,best_ordering,best_coloring,num_orderings,num_optimal_orderings,has_hamiltonian_path,max_degree,avg_degree,clique_number,num_deg_ge_2,num_deg_ge_3,num_deg_ge_5,num_isolated,num_components,component_sizes,density
448,5,5,"[[0, 1], [0, 4], [1, 2], [2, 3], [3, 4]]",2,"[0, 1, 2, 3, 4]","{""0"": 1, ""4"": 1, ""1"": 2, ""2"": 2, ""3"": 2}",120,40,1,2,2.0,2,5,0,0,0,1,[5],0.5
449,6,3,"[[0, 3], [2, 3], [4, 5]]",1,"[0, 3, 2, 1, 4, 5]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",720,24,0,2,1.0,2,1,0,0,1,3,"[3, 2, 1]",0.2
450,4,4,"[[0, 1], [1, 2], [1, 3], [2, 3]]",2,"[0, 1, 2, 3]","{""2"": 1, ""1"": 2, ""3"": 2, ""0"": 1}",24,8,1,3,2.0,3,3,1,0,0,1,[4],0.6666666666666666
451,8,3,"[[1, 2], [4, 5], [6, 7]]",1,"[0, 1, 2, 3, 4, 5, 6, 7]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}",40320,960,0,1,0.75,2,0,0,0,2,5,"[2, 2, 2, 1, 1]",0.10714285714285714
452,6,6,"[[0, 2], [0, 4], [1, 3], [1, 5], [2, 3], [4, 5]]",2,"[0, 2, 3, 1, 4, 5]","{""4"": 1, ""0"": 1, ""1"": 2, ""2"": 2, ""3"": 2, ""5"": 2}",720,96,1,2,2.0,2,6,0,0,0,1,[6],0.4
453,7,21,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]",6,"[0, 1, 2, 3, 4, 5, 6]","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""0"": 6, ""6"": 6}",5040,5040,1,6,6.0,7,7,7,7,0,1,[7],1.0
454,4,4,"[[0, 1], [0, 3], [1, 3], [2, 3]]",2,"[0, 1, 3, 2]","{""1"": 1, ""0"": 2, ""3"": 2, ""2"": 1}",24,8,1,3,2.0,3,3,1,0,0,1,[4],0.6666666666666666
455,7,6,"[[0, 1], [2, 5], [2, 6], [3, 4], [3, 6], [4, 6]]",2,"[0, 1, 2, 5, 3, 6, 4]","{""6"": 1, ""2"": 1, ""3"": 2, ""5"": 2, ""4"": 2, ""0"": 1, ""1"": 1}",5040,160,0,3,1.7142857142857142,3,4,1,0,0,2,"[5, 2]",0.2857142857142857
456,8,7,"[[0, 4], [1, 5], [2, 5], [3, 6], [3, 7], [4, 5], [5, 7]]",2,"[0, 1, 4, 5, 2, 3, 7, 6]","{""5"": 1, ""7"": 1, ""1"": 1, ""2"": 2, ""3"": 2, ""4"": 2, ""0"": 2, ""6"": 2}",40320,212,0,4,1.75,2,4,1,0,0,1,[8],0.25
457,4,0,[],1,"[0, 1, 2, 3]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}",24,24,0,0,0.0,1,0,0,0,4,4,"[1, 1, 1, 1]",0
458,7,15,"[[0, 1], [0, 2], [0, 3], [0, 5], [0, 6], [1, 2], [1, 3], [1, 5], [1, 6], [2, 3], [2, 5], [2, 6], [3, 5], [3, 6], [5, 6]]",5,"[0, 1, 2, 3, 5, 6, 4]","{""1"": 1, ""2"": 2, ""3"": 3, ""5"": 4, ""0"": 5, ""6"": 5, ""4"": 1}",5040,1440,0,5,4.285714285714286,6,6,6,6,1,2,"[6, 1]",0.7142857142857143
459,4,0,[],1,"[0, 1, 2, 3]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}",24,24,0,0,0.0,1,0,0,0,4,4,"[1, 1, 1, 1]",0
460,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
461,6,15,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5]]",5,"[0, 1, 2, 3, 4, 5]","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""0"": 5, ""5"": 5}",720,720,1,5,5.0,6,6,6,6,0,1,[6],1.0
462,8,19,"[[0, 1], [0, 5], [0, 6], [0, 7], [1, 2], [1, 3], [1, 4], [1, 6], [2, 3], [2, 4], [2, 6], [2, 7], [3, 4], [3, 5], [4, 5], [4, 6], [4, 7], [5, 7], [6, 7]]",5,"[0, 5, 1, 3, 6, 7, 4, 2]","{""3"": 1, ""6"": 2, ""1"": 3, ""7"": 4, ""4"": 5, ""5"": 5, ""0"": 4, ""2"": 3}",40320,1704,1,6,4.75,4,8,8,5,0,1,[8],0.6785714285714286
463,5,4,"[[0, 1], [1, 2], [1, 3], [3, 4]]",2,"[0, 1, 2, 3, 4]","{""2"": 1, ""1"": 2, ""3"": 2, ""0"": 1, ""4"": 1}",120,32,0,3,1.6,2,2,1,0,0,1,[5],0.4
464,7,1,"[[4, 5]]",1,"[0, 1, 2, 3, 4, 5, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,1440,0,1,0.2857142857142857,2,0,0,0,5,6,"[2, 1, 1, 1, 1, 1]",0.047619047619047616
465,6,1,"[[1, 2]]",1,"[0, 1, 2, 3, 4, 5]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",720,240,0,1,0.3333333333333333,2,0,0,0,4,5,"[2, 1, 1, 1, 1]",0.06666666666666667
466,5,4,"[[0, 1], [1, 2], [1, 3], [1, 4]]",2,"[0, 2, 1, 3, 4]","{""1"": 1, ""2"": 2, ""3"": 2, ""0"": 1, ""4"": 1}",120,24,0,4,1.6,2,1,1,0,0,1,[5],0.4
467,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
468,12,18,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5], [6, 7], [8, 9], [9, 10]]",5,"[0, 1, 2, 3, 4, 5, 9, 6, 7, 8, 10, 11]","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""0"": 5, ""5"": 5, ""8"": 1, ""6"": 2, ""7"": 2, ""9"": 3, ""10"": 3, ""11"": 1}",512,6,0,5,3.0,6,7,6,6,1,4,"[6, 3, 2, 1]",0.2727272727272727
469,4,4,"[[0, 2], [1, 2], [1, 3], [2, 3]]",2,"[0, 1, 2, 3]","{""1"": 1, ""2"": 2, ""0"": 2, ""3"": 1}",24,8,1,3,2.0,3,3,1,0,0,1,[4],0.6666666666666666
470,7,0,[],1,"[0, 1, 2, 3, 4, 5, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,5040,0,0,0.0,1,0,0,0,7,7,"[1, 1, 1, 1, 1, 1, 1]",0
471,2,0,[],1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,0,0,0.0,1,0,0,0,2,2,"[1, 1]",0
472,7,6,"[[0, 4], [1, 2], [1, 6], [2, 4], [3, 4], [5, 6]]",2,"[0, 2, 4, 1, 3, 5, 6]","{""1"": 1, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 1, ""0"": 2}",5040,160,0,3,1.7142857142857142,2,4,1,0,0,1,[7],0.2857142857142857
473,4,5,"[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3]]",2,"[0, 1, 2, 3]","{""1"": 1, ""2"": 2, ""0"": 2, ""3"": 1}",24,4,1,3,2.5,3,4,2,0,0,1,[4],0.8333333333333334
474,4,6,"[[0, 1], [0, 2], [0, 3], [1, 2], [1, 3], [2, 3]]",3,"[0, 1, 2, 3]","{""1"": 1, ""2"": 2, ""0"": 3, ""3"": 3}",24,24,1,3,3.0,4,4,4,0,0,1,[4],1.0
475,3,0,[],1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,6,0,0,0.0,1,0,0,0,3,3,"[1, 1, 1]",0
476,6,7,"[[1, 3], [1, 4], [2, 3], [2, 4], [2, 5], [3, 4], [3, 5]]",2,"[0, 1, 4, 3, 2, 5]","{""2"": 1, ""3"": 2, ""4"": 1, ""1"": 2, ""5"": 2, ""0"": 1}",720,4,0,4,2.3333333333333335,3,5,3,0,1,2,"[5, 1]",0.4666666666666667
477,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
478,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
479,3,3,"[[0, 1], [0, 2], [1, 2]]",2,"[0, 1, 2]","{""1"": 1, ""0"": 2, ""2"": 2}",6,6,1,2,2.0,3,3,0,0,0,1,[3],1.0
480,5,6,"[[0, 2], [1, 2], [1, 4], [2, 3], [2, 4], [3, 4]]",2,"[0, 1, 2, 4, 3]","{""1"": 1, ""2"": 2, ""4"": 1, ""0"": 2, ""3"": 2}",120,4,1,4,2.4,3,4,2,0,0,1,[5],0.6
481,4,2,"[[0, 2], [1, 3]]",1,"[0, 2, 1, 3]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}",24,8,0,1,1.0,2,0,0,0,0,2,"[2, 2]",0.3333333333333333
482,12,32,"[[0, 11], [1, 2], [1, 4], [1, 5], [1, 7], [1, 8], [1, 9], [1, 10], [2, 4], [2, 5], [2, 6], [2, 7], [2, 9], [2, 10], [3, 11], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [5, 6], [5, 9], [5, 10], [6, 7], [6, 8], [6, 9], [6, 10], [7, 8], [7, 9], [7, 10], [8, 9], [9, 10]]",7,"[0, 11, 3, 1, 2, 4, 5, 7, 8, 9, 10, 6]","{""4"": 1, ""5"": 2, ""7"": 3, ""8"": 4, ""9"": 5, ""2"": 6, ""10"": 7, ""1"": 7, ""6"": 6, ""0"": 1, ""3"": 1, ""11"": 1}",512,6,0,8,5.333333333333333,6,10,9,9,0,2,"[9, 3]",0.48484848484848486
483,7,6,"[[0, 6], [1, 3], [1, 4], [1, 6], [2, 3], [3, 5]]",2,"[0, 2, 6, 1, 3, 4, 5]","{""2"": 1, ""3"": 1, ""1"": 2, ""4"": 2, ""6"": 2, ""0"": 2, ""5"": 1}",5040,144,0,3,1.7142857142857142,2,3,2,0,0,1,[7],0.2857142857142857
484,10,0,[],1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}",512,512,0,0,0.0,1,0,0,0,10,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0
485,11,45,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [1, 2], [1, 3], [1, 4], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [2, 3], [2, 4], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [3, 4], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [6, 7], [6, 8], [6, 9], [6, 10], [7, 8], [7, 9], [7, 10], [8, 9], [8, 10], [9, 10]]",9,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 5]","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""6"": 5, ""7"": 6, ""8"": 7, ""9"": 8, ""0"": 9, ""10"": 9, ""5"": 1}",512,89,0,9,8.181818181818182,10,10,10,10,1,2,"[10, 1]",0.8181818181818182
486,12,8,"[[0, 2], [0, 7], [1, 2], [3, 4], [4, 9], [7, 11], [9, 10], [9, 11]]",2,"[5, 0, 2, 7, 1, 11, 9, 4, 10, 3, 6, 8]","{""1"": 1, ""2"": 1, ""4"": 1, ""7"": 2, ""10"": 2, ""0"": 2, ""3"": 1, ""9"": 2, ""11"": 2, ""5"": 1, ""6"": 1, ""8"": 1}",512,2,0,3,1.3333333333333333,2,6,1,0,3,4,"[9, 1, 1, 1]",0.12121212121212122
487,6,5,"[[0, 1], [0, 4], [1, 5], [2, 5], [3, 5]]",2,"[0, 1, 4, 2, 5, 3]","{""1"": 1, ""2"": 2, ""4"": 2, ""5"": 1, ""0"": 2, ""3"": 1}",720,72,0,3,1.6666666666666667,2,3,1,0,0,1,[6],0.3333333333333333
488,3,2,"[[0, 1], [1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
489,6,3,"[[0, 4], [0, 5], [1, 3]]",1,"[1, 3, 2, 4, 0, 5]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",720,24,0,2,1.0,2,1,0,0,1,3,"[3, 2, 1]",0.2
490,7,5,"[[0, 2], [0, 3], [2, 3], [3, 4], [4, 5]]",2,"[0, 2, 3, 1, 4, 5, 6]","{""1"": 1, ""2"": 1, ""3"": 2, ""0"": 2, ""4"": 2, ""5"": 1, ""6"": 1}",5040,256,0,3,1.4285714285714286,3,4,1,0,2,3,"[5, 1, 1]",0.23809523809523808
491,4,3,"[[1, 2], [1, 3], [2, 3]]",2,"[0, 1, 2, 3]","{""2"": 1, ""1"": 2, ""3"": 2, ""0"": 1}",24,12,0,2,1.5,3,3,0,0,1,2,"[3, 1]",0.5
492,10,4,"[[0, 1], [0, 2], [1, 2], [7, 8]]",2,"[0, 1, 2, 7, 8, 3, 4, 5, 6, 9]","{""1"": 1, ""0"": 2, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}",512,41,0,2,0.8,3,3,0,0,5,7,"[3, 2, 1, 1, 1, 1, 1]",0.08888888888888889
493,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
494,11,10,"[[0, 1], [1, 4], [2, 3], [3, 4], [3, 6], [5, 6], [6, 9], [7, 8], [7, 9], [7, 10]]",2,"[0, 1, 4, 3, 2, 6, 5, 9, 7, 8, 10]","{""2"": 1, ""5"": 1, ""6"": 2, ""8"": 1, ""3"": 2, ""7"": 2, ""9"": 2, ""10"": 2, ""0"": 1, ""1"": 1, ""4"": 1}",512,1,0,3,1.8181818181818181,2,6,3,0,0,1,[11],0.18181818181818182
495,7,6,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6]]",1,"[0, 1, 2, 3, 4, 5, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,2,1,2,1.7142857142857142,2,5,0,0,0,1,[7],0.2857142857142857
496,6,10,"[[0, 1], [0, 3], [0, 4], [0, 5], [1, 3], [1, 4], [1, 5], [3, 4], [3, 5], [4, 5]]",4,"[0, 1, 3, 4, 5, 2]","{""1"": 1, ""3"": 2, ""4"": 3, ""0"": 4, ""5"": 4, ""2"": 1}",720,240,0,4,3.3333333333333335,5,5,5,0,1,2,"[5, 1]",0.6666666666666666
497,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
498,7,1,"[[0, 4]]",1,"[0, 4, 1, 2, 3, 5, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,1440,0,1,0.2857142857142857,2,0,0,0,5,6,"[2, 1, 1, 1, 1, 1]",0.047619047619047616
499,9,3,"[[0, 2], [0, 3], [1, 4]]",1,"[1, 4, 6, 5, 3, 0, 2, 8, 7]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1}",512,5,0,2,0.6666666666666666,2,1,0,0,4,6,"[3, 2, 1, 1, 1, 1]",0.08333333333333333
500,3,2,"[[0, 1], [1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
501,7,7,"[[0, 2], [0, 3], [0, 4], [2, 3], [2, 4], [3, 4], [4, 5]]",3,"[0, 2, 3, 4, 1, 5, 6]","{""2"": 1, ""3"": 2, ""4"": 3, ""0"": 3, ""1"": 1, ""5"": 2, ""6"": 1}",5040,432,0,4,2.0,4,4,4,0,2,3,"[5, 1, 1]",0.3333333333333333
502,7,7,"[[0, 5], [1, 4], [2, 3], [2, 4], [2, 5], [3, 5], [4, 6]]",2,"[0, 3, 5, 2, 1, 4, 6]","{""1"": 1, ""2"": 2, ""5"": 1, ""3"": 2, ""0"": 1, ""4"": 2, ""6"": 1}",5040,40,0,3,2.0,3,4,3,0,0,1,[7],0.3333333333333333
503,8,0,[],1,"[0, 1, 2, 3, 4, 5, 6, 7]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}",40320,40320,0,0,0.0,1,0,0,0,8,8,"[1, 1, 1, 1, 1, 1, 1, 1]",0
504,7,0,[],1,"[0, 1, 2, 3, 4, 5, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,5040,0,0,0.0,1,0,0,0,7,7,"[1, 1, 1, 1, 1, 1, 1]",0
505,6,15,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5]]",5,"[0, 1, 2, 3, 4, 5]","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""0"": 5, ""5"": 5}",720,720,1,5,5.0,6,6,6,6,0,1,[6],1.0
506,4,0,[],1,"[0, 1, 2, 3]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}",24,24,0,0,0.0,1,0,0,0,4,4,"[1, 1, 1, 1]",0
507,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
508,2,0,[],1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,0,0,0.0,1,0,0,0,2,2,"[1, 1]",0
509,6,15,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [3, 4], [3, 5], [4, 5]]",5,"[0, 1, 2, 3, 4, 5]","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""0"": 5, ""5"": 5}",720,720,1,5,5.0,6,6,6,6,0,1,[6],1.0
510,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
511,5,4,"[[0, 4], [1, 2], [1, 3], [1, 4]]",2,"[0, 2, 1, 4, 3]","{""4"": 1, ""0"": 1, ""1"": 2, ""2"": 2, ""3"": 2}",120,32,0,3,1.6,2,2,1,0,0,1,[5],0.4
512,6,12,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 2], [1, 3], [1, 4], [2, 3], [2, 4], [3, 4], [4, 5]]",4,"[1, 0, 2, 3, 4, 5]","{""2"": 1, ""3"": 2, ""0"": 3, ""4"": 4, ""1"": 4, ""5"": 3}",720,144,1,5,4.0,5,6,5,2,0,1,[6],0.8
513,10,15,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 4], [1, 5], [2, 4], [2, 6], [2, 9], [3, 8], [4, 5], [4, 6], [5, 6], [7, 9]]",4,"[2, 9, 6, 7, 4, 5, 1, 0, 8, 3]","{""0"": 1, ""4"": 2, ""2"": 1, ""5"": 3, ""6"": 3, ""7"": 4, ""1"": 4, ""9"": 4, ""8"": 2, ""3"": 1}",512,3,1,5,3.0,4,8,6,2,0,1,[10],0.3333333333333333
514,3,2,"[[0, 1], [1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
515,7,6,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6]]",3,"[1, 2, 3, 0, 4, 5, 6]","{""0"": 1, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 3, ""1"": 1, ""6"": 1}",5040,720,0,6,1.7142857142857142,2,1,1,1,0,1,[7],0.2857142857142857
516,7,6,"[[0, 2], [0, 4], [1, 3], [2, 3], [3, 6], [4, 5]]",2,"[0, 2, 4, 5, 1, 3, 6]","{""2"": 1, ""3"": 1, ""1"": 2, ""4"": 2, ""5"": 2, ""0"": 2, ""6"": 1}",5040,160,0,3,1.7142857142857142,2,4,1,0,0,1,[7],0.2857142857142857
517,7,6,"[[0, 2], [1, 5], [2, 3], [3, 4], [3, 5], [3, 6]]",2,"[0, 1, 2, 5, 3, 4, 6]","{""1"": 1, ""2"": 2, ""5"": 1, ""3"": 2, ""4"": 1, ""0"": 2, ""6"": 2}",5040,96,0,4,1.7142857142857142,2,3,1,0,0,1,[7],0.2857142857142857
518,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
519,7,4,"[[3, 4], [4, 5], [4, 6], [5, 6]]",2,"[0, 1, 2, 3, 4, 5, 6]","{""5"": 1, ""4"": 2, ""6"": 2, ""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}",5040,480,0,3,1.1428571428571428,3,3,1,0,3,4,"[4, 1, 1, 1]",0.19047619047619047
520,4,4,"[[0, 1], [0, 2], [0, 3], [2, 3]]",2,"[1, 0, 2, 3]","{""2"": 1, ""0"": 2, ""3"": 2, ""1"": 1}",24,8,1,3,2.0,3,3,1,0,0,1,[4],0.6666666666666666
521,3,2,"[[0, 1], [1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
522,3,3,"[[0, 1], [0, 2], [1, 2]]",2,"[0, 1, 2]","{""1"": 1, ""0"": 2, ""2"": 2}",6,6,1,2,2.0,3,3,0,0,0,1,[3],1.0
523,12,43,"[[0, 1], [0, 2], [0, 3], [0, 5], [0, 6], [0, 7], [0, 9], [0, 10], [0, 11], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 9], [1, 10], [1, 11], [2, 3], [2, 4], [2, 5], [2, 8], [2, 11], [3, 4], [3, 5], [3, 8], [3, 9], [3, 11], [4, 6], [4, 8], [4, 10], [4, 11], [5, 9], [5, 10], [5, 11], [6, 8], [6, 10], [6, 11], [7, 8], [7, 10], [8, 10], [8, 11], [9, 11], [10, 11]]",8,"[2, 7, 5, 8, 11, 10, 0, 4, 1, 3, 9, 6]","{""0"": 1, ""4"": 2, ""10"": 3, ""11"": 4, ""1"": 5, ""3"": 6, ""8"": 7, ""5"": 8, ""2"": 6, ""7"": 5, ""9"": 8, ""6"": 7}",512,3,1,10,7.166666666666667,6,12,12,11,0,1,[12],0.6515151515151515
524,6,12,"[[0, 1], [0, 2], [0, 4], [0, 5], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5]]",4,"[0, 1, 2, 4, 5, 3]","{""2"": 1, ""4"": 2, ""1"": 3, ""5"": 4, ""0"": 4, ""3"": 3}",720,184,1,5,4.0,4,6,6,1,0,1,[6],0.8
525,10,36,"[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 7], [0, 8], [0, 9], [1, 2], [1, 3], [1, 4], [1, 5], [1, 7], [1, 8], [1, 9], [2, 3], [2, 4], [2, 5], [2, 7], [2, 8], [2, 9], [3, 4], [3, 5], [3, 7], [3, 8], [3, 9], [4, 5], [4, 7], [4, 8], [4, 9], [5, 7], [5, 8], [5, 9], [7, 8], [7, 9], [8, 9]]",8,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 6]","{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""7"": 6, ""8"": 7, ""0"": 8, ""9"": 8, ""6"": 1}",512,108,0,8,7.2,9,9,9,9,1,2,"[9, 1]",0.8
526,6,5,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]",1,"[0, 1, 2, 3, 4, 5]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",720,2,1,2,1.6666666666666667,2,4,0,0,0,1,[6],0.3333333333333333
527,3,2,"[[0, 1], [0, 2]]",1,"[1, 0, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,2,1,2,1.3333333333333333,2,1,0,0,0,1,[3],0.6666666666666666
528,5,6,"[[0, 2], [0, 3], [0, 4], [1, 2], [1, 3], [1, 4]]",3,"[0, 2, 1, 3, 4]","{""3"": 1, ""0"": 2, ""1"": 3, ""2"": 3, ""4"": 2}",120,96,1,3,2.4,2,5,2,0,0,1,[5],0.6
529,7,19,"[[0, 1], [0, 3], [0, 4], [0, 5], [0, 6], [1, 2], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 5], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6]]",5,"[0, 1, 3, 4, 5, 2, 6]","{""3"": 1, ""4"": 2, ""5"": 3, ""0"": 4, ""1"": 5, ""2"": 5, ""6"": 4}",5040,528,1,6,5.428571428571429,5,7,7,7,0,1,[7],0.9047619047619048
530,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
531,8,10,"[[0, 2], [0, 3], [1, 2], [1, 3], [2, 3], [4, 6], [4, 7], [5, 6], [5, 7], [6, 7]]",2,"[0, 2, 3, 1, 4, 6, 7, 5]","{""2"": 1, ""3"": 2, ""6"": 1, ""7"": 2, ""0"": 2, ""1"": 1, ""4"": 2, ""5"": 1}",40320,32,0,3,2.5,3,8,4,0,0,2,"[4, 4]",0.35714285714285715
532,3,1,"[[1, 2]]",1,"[0, 1, 2]","{""0"": 1, ""1"": 1, ""2"": 1}",6,4,0,1,0.6666666666666666,2,0,0,0,1,2,"[2, 1]",0.3333333333333333
533,7,5,"[[0, 1], [1, 2], [3, 4], [4, 5], [5, 6]]",1,"[0, 1, 2, 3, 4, 5, 6]","{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",5040,8,0,2,1.4285714285714286,2,3,0,0,0,2,"[4, 3]",0.23809523809523808
534,2,1,"[[0, 1]]",1,"[0, 1]","{""0"": 1, ""1"": 1}",2,2,1,1,1.0,2,0,0,0,0,1,[2],1.0
